"Product Name","Brand / Inspired By","Collection","Gender","20ml (INR)","50ml (INR)","100ml (INR)","Attar (3ml / 6ml / 12ml)","Solid & Other Sizes","Fragrance Notes","Badge / Celebrity"
"Sauvage","Dior","standard","men","₹349","₹549","₹999","-","-","Fresh, Woody, Spicy","BESTSELLER"
"Sauvage EDP","Dior","standard","men","₹349","₹549","₹999","-","-","Fresh, Woody, Vanilla","-"
"Sauvage Parfum","Dior","standard","men","₹349","₹549","₹999","-","-","Woody, Spicy, Amber","-"
"Homme EDT","Dior","standard","men","₹349","₹549","₹999","-","-","Iris, Woody, Powdery","-"
"Homme Parfum","Dior","standard","men","₹349","₹549","₹999","-","-","Iris, Leather, Amber","-"
"Miss Dior","Dior","standard","women","₹349","₹549","₹999","-","-","Floral, Rose, Fresh","-"
"Joy by Dior","Dior","standard","women","₹349","₹549","₹999","-","-","Floral, Musk, Citrus","-"
"Oud Wood","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Oud, Woody, Spicy","ICONIC"
"Black Orchid","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Floral, Dark, Amber","NICHE EXCLUSIVE"
"Tobacco Vanille","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Tobacco, Vanilla, Amber","-"
"OmbrÃ© Leather","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Leather, Floral, Woody","-"
"Lost Cherry","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Cherry, Vanilla, Sweet","-"
"Neroli Portofino","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Citrus, Fresh, Floral","-"
"Rose Prick","Tom Ford","standard","unisex","₹349","₹549","₹999","-","-","Rose, Spicy, Amber","-"
"Bleu de Chanel EDT","Chanel","standard","men","₹349","₹549","₹999","-","-","Woody, Aromatic, Fresh","BESTSELLER"
"Bleu de Chanel EDP","Chanel","standard","men","₹349","₹549","₹999","-","-","Woody, Aromatic, Amber","-"
"Bleu de Chanel Parfum","Chanel","standard","men","₹349","₹549","₹999","-","-","Woody, Amber, Incense","-"
"No.5","Chanel","standard","women","₹349","₹549","₹999","-","-","Floral, Powdery, Aldehyde","ICONIC"
"Coco Mademoiselle","Chanel","standard","women","₹349","₹549","₹999","-","-","Floral, Oriental, Citrus","-"
"Allure Homme Sport","Chanel","standard","men","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","-"
"Chance","Chanel","standard","women","₹349","₹549","₹999","-","-","Floral, Fresh, Woody","-"
"Aventus","Creed","standard","men","₹349","₹549","₹999","-","-","Fruity, Woody, Smoky","ICONIC"
"Viking","Creed","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Fresh","-"
"Silver Mountain Water","Creed","standard","men","₹349","₹549","₹999","-","-","Aquatic, Green, Woody","-"
"Himalaya","Creed","standard","men","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","-"
"Love in White","Creed","standard","women","₹349","₹549","₹999","-","-","Floral, Rice, Musk","-"
"Acqua di GiÃ²","Armani","standard","men","₹349","₹549","₹999","-","-","Aquatic, Citrus, Woody","BESTSELLER"
"Acqua di GiÃ² Profumo","Armani","standard","men","₹349","₹549","₹999","-","-","Aquatic, Incense, Woody","-"
"Code Homme","Armani","standard","men","₹349","₹549","₹999","-","-","Oriental, Spicy, Amber","-"
"Code Profumo","Armani","standard","men","₹349","₹549","₹999","-","-","Amber, Spicy, Tobacco","-"
"SÃ¬","Armani","standard","women","₹349","₹549","₹999","-","-","Floral, Chypre, Musk","-"
"SÃ¬ Passione","Armani","standard","women","₹349","₹549","₹999","-","-","Floral, Fruity, Woody","-"
"Stronger With You","Armani","standard","men","₹349","₹549","₹999","-","-","Spicy, Amber, Woody","POPULAR"
"Bal d'Afrique","Byredo","standard","unisex","₹349","₹549","₹999","-","-","Floral, Musk, Amber","-"
