Product Name,Brand,Category / Collection,Gender,Available Sizes & Prices (INR),Fragrance Family / Notes
"Sauvage","Dior","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Woody, Spicy"
"Sauvage EDP","Dior","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Woody, Vanilla"
"Sauvage Parfum","Dior","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Spicy, Amber"
"Homme EDT","Dior","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Iris, Woody, Powdery"
"Homme Parfum","Dior","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Iris, Leather, Amber"
"Miss Dior","Dior","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Rose, Fresh"
"Joy by Dior","Dior","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Musk, Citrus"
"Oud Wood","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Oud, Woody, Spicy"
"Black Orchid","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Dark, Amber"
"Tobacco Vanille","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tobacco, Vanilla, Amber"
"OmbrÃ© Leather","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Leather, Floral, Woody"
"Lost Cherry","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Cherry, Vanilla, Sweet"
"Neroli Portofino","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Fresh, Floral"
"Rose Prick","Tom Ford","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Spicy, Amber"
"Bleu de Chanel EDT","Chanel","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Aromatic, Fresh"
"Bleu de Chanel EDP","Chanel","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Aromatic, Amber"
"Bleu de Chanel Parfum","Chanel","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Amber, Incense"
"No.5","Chanel","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Powdery, Aldehyde"
"Coco Mademoiselle","Chanel","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Oriental, Citrus"
"Allure Homme Sport","Chanel","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Chance","Chanel","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fresh, Woody"
"Aventus","Creed","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fruity, Woody, Smoky"
"Viking","Creed","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Fresh"
"Silver Mountain Water","Creed","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Green, Woody"
"Himalaya","Creed","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Love in White","Creed","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Rice, Musk"
"Acqua di GiÃ²","Armani","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Citrus, Woody"
"Acqua di GiÃ² Profumo","Armani","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Incense, Woody"
"Code Homme","Armani","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Oriental, Spicy, Amber"
"Code Profumo","Armani","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Spicy, Tobacco"
"SÃ¬","Armani","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Chypre, Musk"
"SÃ¬ Passione","Armani","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fruity, Woody"
"Stronger With You","Armani","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Amber, Woody"
"Bal d'Afrique","Byredo","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Musk, Amber"
"Mojave Ghost","Byredo","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Musk, Floral"
